GTDB-Tk Taxonomy Lineage	n
Bacteria|Acidobacteriota|Acidobacteriae|20CM-2-55-15|20CM-2-55-15	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Edaphobacter	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Granulicella_A	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Granulicella_D	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|KBS-83	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|PALSA-350	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Palsa-343	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Terracidiphilus	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Tous-C9LFEB	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|UBA5172	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|CAINCZ01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|CAINCZ01|JAFAIN01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA112	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA117|Gp1-AA17	4
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|40CM-3-55-5	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Bog-209	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA124	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA133	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA145	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|PALSA-188	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|PALSA-270	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|QIAJ01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Sulfotelmatobacter	15
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Sulfotelmatobacter|Sulfotelmatobacter sp003166855	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Acidoferrum	18
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-147	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-295	17
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-295|Palsa-295 sp003156635	2
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|BOG-234	3
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bog-105	3
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|PALSA-243	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Palsa-89	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Solibacter	3
Bacteria|Acidobacteriota|Acidobacteriae|UBA7540|UBA7540	1
Bacteria|Acidobacteriota|Acidobacteriae|UBA7540|UBA7540|Gp13-AA77	1
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae	3
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|JACMLC01	1
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|PSRF01	9
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|QHXM01	2
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|UBA11740	10
Bacteria|Acidobacteriota|Blastocatellia|RBC074|RBC074	1
Bacteria|Acidobacteriota|Blastocatellia|RBC074|RBC074|JADJLO01	1
Bacteria|Acidobacteriota|Blastocatellia|UBA7656|UBA7656|JADGNW01	2
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8|QHVT01	4
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6|Gp7-AA6	3
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|UBA5066|Fen-183	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704	3
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704|UBA5704	7
Bacteria|Acidobacteriota|UBA6911|UBA6911|UBA6911	1
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336	4
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336|WYBL01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21	3
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21|2-12-FULL-66-21	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21|JACCXG01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|SCN-69-37	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999	4
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999|Gp6-AA45	5
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999|JADGOC01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|WHTT01	1
Bacteria|Actinobacteriota	6
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bog-793|Fen-455|Fen-455 sp003170375	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bog-793|Palsa-601	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|JACCUL01	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|JAENVT01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01	5
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01|VFJN01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01|ZC4RG19	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JADJXE01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Palsa-688|PALSA-693	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-473	3
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-756	3
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-756|Bog-756 sp003138855	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Palsa-461	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|RAAP-2	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8139	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8139|JACPNV01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8190	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-555	7
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-555|JACDBD01	2
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-610	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-610|PALSA-610	2
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|ZC4RG35	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|ZC4RG35|SZUA-217	3
Bacteria|Actinobacteriota|Actinomycetia	7
Bacteria|Actinobacteriota|Actinomycetia|Acidothermales|Acidothermaceae|PALSA-607	2
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae|Lapillicoccus	3
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae|UBA4719	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Galbitalea	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Lacisediminihabitans	2
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Leifsonia_B	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Microbacterium	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Plantibacter	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Rhodoglobus	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|ZJ450	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Micrococcaceae|Citricoccus	1
Bacteria|Actinobacteriota|Actinomycetia|Euzebyales|Egibacteraceae|JACCXR01	1
Bacteria|Actinobacteriota|Actinomycetia|JACCUZ01|JACCUZ01	1
Bacteria|Actinobacteriota|Actinomycetia|Jiangellales	1
Bacteria|Actinobacteriota|Actinomycetia|Jiangellales|Jiangellaceae	4
Bacteria|Actinobacteriota|Actinomycetia|Jiangellales|Jiangellaceae|JACVRX01	2
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|CADCTP01|JACQDL01	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Frankiaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Geodermatophilaceae|Geodermatophilus	2
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|JADGOU01|JADGOU01	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|JAFAWL01	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|Jatrophihabitans	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|QHCC01	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|WQZC01	4
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Micromonosporaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Micromonosporaceae|Actinoplanes	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Micromonosporaceae|Planosporangium	2
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Micromonosporaceae|SLSW01	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Mycobacteriaceae|Mycobacterium	30
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae	3
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|Actinophytocola	2
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|GCA-003244245	7
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|Pseudonocardia	5
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|Sciscionella	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Kribbellaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Kribbellaceae|Kribbella	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Nocardioidaceae	6
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Nocardioidaceae|Nocardioides	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Propionibacteriaceae	11
Bacteria|Actinobacteriota|Actinomycetia|Sporichthyales|Sporichthyaceae	3
Bacteria|Actinobacteriota|Actinomycetia|Streptomycetales|Streptomycetaceae|Streptomyces	1
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Bog-532	2
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Chersky-822	4
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|JAFARZ01	1
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|PALSA-505	2
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Palsa-504	5
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Palsa-506	2
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Trebonia	5
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|UBA9676	3
Bacteria|Actinobacteriota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae	3
Bacteria|Actinobacteriota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|SCSIO-52909	3
Bacteria|Actinobacteriota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|SCSIO-52915	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales	4
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae	6
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|13-2-20CM-68-14	2
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|3-1-20CM-4-69-9	4
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|AC-32	2
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella	3
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|JACCRW01	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|JACDAN01	6
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|JACVRM01	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|PALSA-600	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|PALSA-612	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|Palsa-739	2
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|VAXT01	1
Bacteria|Actinobacteriota|Thermoleophilia|Miltoncostaeales|Miltoncostaeaceae	3
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|70-9	18
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|70-9|VAYN01	10
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|70-9|VGBV01	9
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|70-9|WHSW01	2
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae	7
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|AC-38	2
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Baekduia	3
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Conexibacter	2
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|JACCYI01	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-465	12
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-513	1
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-744	42
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Palsa-744|Palsa-744 sp017882375	2
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae	2
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Thermoleophilaceae|JACVRW01	2
Bacteria|Actinobacteriota|UBA4738	2
Bacteria|Actinobacteriota|UBA4738|AC-67|AC-67	1
Bacteria|Actinobacteriota|UBA4738|AC-67|AC-67|AC-67	2
Bacteria|Actinobacteriota|UBA4738|CADDZG01	8
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01	8
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01|JACDAL01	1
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01|WHSV01	1
Bacteria|Actinobacteriota|UBA4738|UBA4738	8
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12	1
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|AC-51	15
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|AC-69	4
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|DSRY01	4
Bacteria|Actinobacteriota|UBA4738|UBA4738|UBA4738	2
Bacteria|Armatimonadota|Chthonomonadetes|Chthonomonadales|Chthonomonadaceae	1
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|UBA10428|UBA5072	1
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|VadinHA17|LD21	3
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Edaphocola	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ferruginibacter	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ginsengibacter	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Puia	7
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAS01	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAT01	1
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Chryseolinea	1
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cytophagaceae|Cytophaga	1
Bacteria|Bacteroidota|Bacteroidia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter	2
Bacteria|Bacteroidota|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae|Fen-1301	1
Bacteria|Bacteroidota|Ignavibacteria|SJA-28|OLB5	1
Bacteria|Chlamydiota|Chlamydiia|Chlamydiales|Rhabdochlamydiaceae|CAJCIW01	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|Fen-1038	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|JACPVF01	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|OLB14	1
